Sentiment,Sentence,Rating,Name
-1,The book is disproportionally focused on single and multilayer feedforward networks.,2,books_neg_2
-1,"And though the book puts great emphasis on mathematics and even includes a big section on important mathematical background knowledge, it contains to many errors in the mathematical formulas, so they are of little use.",2,books_neg_2
-1,The author hasn't even taken the trouble to put up an errata list.,2,books_neg_2
-1,"Finally, for the beginner there are not enough conceptual clues on what is actually going on and it is hard to form any mental model of the underlying processes.",2,books_neg_2
-1,There are better books.,2,books_neg_2
0,For an introduction read Neural Networks by Kevin Gurney. He puts great emphasis on conceptual understanding.,2,books_neg_2
0,"For further studies there is Neural Networks by Simon Haykin, which has the mathematics.",2,books_neg_2
-1,"I began this novel with the greatest of hopes, and finished it in an effort to fully understand what a really bad novel consists of.",1,books_neg_14
0,It is the story of a man in a mid-western town and a full description of every person he has ever met in the town.,1,books_neg_14
-1,It held the promise of leading off into a sci-fi novel but didn't quite reach anything beyond the mundane until the last couple of chapters of the book.,1,books_neg_14
-1,Reading the introductions to numerous sub-characters that had no relation to the plot (if there was one)was painfully boring and took up a good part of the book.,1,books_neg_14
-1,The relationship between Michael (the main character) and Angela (a complete stranger he hops into bed with in the first chapter) is not only unplausable and mesogenistic it reads like the fantastic pipe-dream of a teenage boy.,1,books_neg_14
-1,"When the the main character finally reaches something vaguely interesting, the discovery of an alien corridor, he takes a break from uncovering it to go have a day at the art museum and shopping with his girlfriend.",1,books_neg_14
-1,Note to author: Reading doesn't have to be as painful as a dentist appointment.,1,books_neg_14
0,"They say to write what you know, but keep in mind that plot is EVERYTHING, without one you are just meandering about frustrating your reader.",1,books_neg_14
0,Readers of Dean Koontz's Frankenstein have been anticipating the final volume in the series for years.,1,books_neg_21
-1,It wasn't worth the wait.,1,books_neg_21
0,"Released late last month, Dead and Alive wraps up the author's modernization of the Frankenstein story four years later than originally planned.",1,books_neg_21
0,Reasons for the delay include Koontz's dislike of working with co-authors (both of whose names have been dropped from new printings of books one and two) to the effect of the real-life Hurricane Katrina on the story's New Orleans setting.,1,books_neg_21
-1,"Somewhere between 2005 and now, Koontz decided not to take the whole thing too seriously: What began as a pulpish horror/adventure story with humorous overtones has morphed into a full-blown farce, complete with a naked, dancing troll with a taste for bath soap and interminable scenes filled with wacky patter that would be more at home in a romantic comedy.",1,books_neg_21
1,"Only Deucalion, Victor's first creation from the Mary Shelly novel that served as inspiration for this updating, is still played straight.",1,books_neg_21
-1,"Detectives Carson O'Connor and Michael Madison are reduced to supporting roles, nattering on about raising babies (they're now in love), eating and shooting guns.",1,books_neg_21
-1,"A Three Stooges moment as they pursue a naked husband and wife -- one of whom has a ""perky butt"" -- who are in turn pursuing a dog gives them their sole opportunity to use the guns they have been ogling since book two.",1,books_neg_21
-1,The long build-up given to their anticipated shoot out with Victor Frankenstein is a dead end.,1,books_neg_21
0,They would have been just as appropriately armed with rubber-band guns and paper clips.,1,books_neg_21
1,"Koontz finds his footing in the final chapters, a Lovecraftian showdown between Frankenstein and his artificial creations inside a series of tunnels beneath a dump.",1,books_neg_21
0,He even sets up a possible sequel and makes a connection to his popular Odd Thomas series.,1,books_neg_21
-1,"But it's too little, too late.",1,books_neg_21
-1,"After 352 relentlessly padded pages (I gave up counting how many times Koontz tells us that Victor's creatures gain their memories through data-downloads), the Frankenstein series that began with so much promise limps across the finish line, a pale shadow of what it could have been.",1,books_neg_21
0,I used to wait in anticipation for the next Scarpetta novel to come out.,1,books_neg_23
-1,After reading Blow fly I doubt that I will ever buy another.,1,books_neg_23
-1,Its a shame to be forced to give this novel a one star rating.,1,books_neg_23
-1,I think Patricia is simply milking the system on her way to retirement.,1,books_neg_23
-1,What a letdown.,1,books_neg_23
-1,Are her publishers totally ignoring the ever increasing deploring reviews?,1,books_neg_23
-1,I truly believe that the end is near for Patricia.,1,books_neg_23
-1,Please don't buy this novel because soon all the used book stores will have dozens of copies with hardly a page turned.,1,books_neg_23
-1,"Patricia, please retire with some dignity!",1,books_neg_23
0,"Mortimer's ""How to read a book"" is a 400 page saga on rules of reading literature, science, maths, history and poetry.",2,books_neg_29
0,"I am sure that when it was first published in 1940s, it was the ground breaking first book ever that taught people how to read.",2,books_neg_29
0,Its analysis on different levels of reading and types of books must have sounded very revealing to readers.,2,books_neg_29
-1,"However, today, 60 years after it was first published , ""How to read a Book"" doesn't impress as much.",2,books_neg_29
0,"Since you are interested in this book, I will assume that you read a lot of text and are primarily looking for something that will : 1) Increase your Speed 2) Increase your comprehension.",2,books_neg_29
-1,This is not the book for your goal.,2,books_neg_29
0,"The book starts with the Goals of Reading and quickly moves on to different levels of reading (Elementary, Inspectional, Analytical and Syntopical).",2,books_neg_29
0,"In a nutshell all that Mortimer wants to communicate is that there are 2 types of reading, one that you do for entertainment and one for aquiring information or understanding.",2,books_neg_29
0,"In both cases, it pays to be an active reader (more in 2nd than in first).",2,books_neg_29
0,"To become an active reader, you have to follow these simple rules: 1) Look for the theme, crux of the book 2) Look for outline, structure or organization of the book 3) Understand what author is trying to say 4) Understand why author is saying that 5) What arguments he gives to support himself 6) Arguments against what he wants to disprove 7) Terms and language he uses That's it!",2,books_neg_29
0,This is pretty much the summary of the book.,2,books_neg_29
-1,He takes examples of Homer and Hamlet but all that Mortimer does is to add lots and lots of padding and useless words to drive his point across.,2,books_neg_29
0,It took me an hour to go through first 50 pages as I was really trying to give this book enough time.,2,books_neg_29
-1,"However, once I realized that there is little meaningful text hidden between tons of useless babble, I started speed reading and found that it was enough to read just the title of each paragraph and a line or 2 in caps.",2,books_neg_29
-1,I raced through rest of the 300 pages in another hour and I haven't missed anything!,2,books_neg_29
1,CONCLUSION: This book may be a good gift for your child (10 to 13 years old) if she has any interest in reading.,2,books_neg_29
1,It could teach him some basic rules and tricks.,2,books_neg_29
-1,"But if you are looking for speed reading book, this is not the one.",2,books_neg_29
0,"Having just finished a long journey through ""The Cloister Walk"" I do not consider myself at all qualified to provide an objective review of ""The Psalms"".",1,books_neg_47
-1,"But the in-depth commentary on the Psalms, the saints, the Church, on liturgy and theology..and especially the people of the monastic world..",1,books_neg_47
-1,"which was so very prominent in her ""Walk"" is missing.",1,books_neg_47
0,"To compare is, of course, patently unfair.",1,books_neg_47
-1,"However, in my opinion a book's value is not in merely restating what has already been written, but in the creative contributions to and interpretations of what already is.",1,books_neg_47
-1,This does not happen.,1,books_neg_47
-1,Shame on the publishers!,1,books_neg_47
-1,"First of all, this book put me to sleep several times.",1,books_neg_51
-1,"Barbara Hambly is no doubt a good writer, but I think she would be better served writing romance novels.",1,books_neg_51
0,"Every writer has his or her own writing style, but some styles are simply inappropriate for certain genres.",1,books_neg_51
-1,"Babara Hambly spends much time giving overly eloquent/poetic descriptions of the surroundings, moods, and thoughts of characters but hey, Star Wars was not meant to be Shakespere.",1,books_neg_51
-1,It's obvious that she gave very little thought to who the target audience is.,1,books_neg_51
0,"Don't get me wrong I love Shakespere, but I read it when I'm in the mood for it.",1,books_neg_51
0,"When I'm in the mood for Star Wars, I want Star Wars. What's wrong with the plot?",1,books_neg_51
-1,"Well first of all she came up with the very original idea of an Imperial Super Weapon. Second, you know how many authors describe the difficulty of creating adversaries to give a worthwhile challenge for a very powerful hero?",1,books_neg_51
0,"Not to worry, BH has a better idea.",1,books_neg_51
0,Very early on in the book Luke gets injured.,1,books_neg_51
0,Over the next 150 or so pages Luke encounters some very trivial obstacles (for a Jedi that is).,1,books_neg_51
0,"About every 4 or 5 pages we are told, ""Normally Luke would just use the force to...raise the box/lift the door/open the lock/fool the guard/take the blaster from the Gamorrean/insert your own obstacle...but his pain keeps him from focusing the force.",1,books_neg_51
-1,Around the fourth time I saw this pattern I got disgusted.,1,books_neg_51
-1,What's the matter Barbara?,1,books_neg_51
-1,Couldn't think of a challenging bad guy?,1,books_neg_51
-1,This was a very cheap substitute.,1,books_neg_51
-1,And what of the good old Jedi healing or pain blocking techniques?,1,books_neg_51
-1,Oh but this hurt Luke too bad for Jedi techniques to work.,1,books_neg_51
0,Of any kind!,0,books_neg_51
0,"If you *must* read it because it's ""star wars"" try to get a used one or borrow one.",0,books_neg_51
-1,"I would hate to see such a sad effort get enough unintentional support that they allow, let alone recruit BH to write a third book.",0,books_neg_51
-1,"I thought at first maybe I had a defective version of the book but after reading other reviews, I see that our problem is normal.",2,books_neg_55
-1,We had to replace the batteries after a weekend of play with the newly purchased book.,2,books_neg_55
-1,The second set of batteries only lasted a week.,2,books_neg_55
0,It looks like it's cheaper to order batteries from the company.,2,books_neg_55
-1,"However, I found it very hard to enjoy the book because I really disliked the main character Amir. He was to cowardly, so childish throughout his whole life, whining and complaining through much of the 371 pages it took to tell the story.",2,books_neg_58
0,"While the villian of the book was truly a villian, at least he understood who he was.",2,books_neg_58
0,Amir never figures out who he is until much later in his life.,2,books_neg_58
-1,"I never felt bad once for Amir, but I loathed him even to the end.",2,books_neg_58
-1,And that's why I could not enjoy this novel more.,2,books_neg_58
-1,I couldn't connect with the character the author wanted his readers to connect with.,2,books_neg_58
1,I do not fault his writing style because it was quite an easy read and very accessible.,2,books_neg_58
